State,Constituency,Candidate,Party,Total Votes,% of Votes,Result
Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,Indian National Congress,95308,45.98,Won
Andhra Pradesh,Amalapuram,CHINTA ANURADHA,Yuvajana Sramika Rythu Congress Party,485313,39.43,Won
Andhra Pradesh,Anakapalli,Dr.Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,586226,47.33,Won
Andhra Pradesh,Anantapur,TALARI RANGAIAH,Yuvajana Sramika Rythu Congress Party,695208,51.79,Won
Andhra Pradesh,Aruku,GODDETI. MADHAVI,Yuvajana Sramika Rythu Congress Party,562190,52.32,Won
Andhra Pradesh,Bapatla,NANDIGAM SURESH,Yuvajana Sramika Rythu Congress Party,598257,47.24,Won
Andhra Pradesh,Chittoor,N. REDDEPPA,Yuvajana Sramika Rythu Congress Party,686792,52.05,Won
Andhra Pradesh,Eluru,KOTAGIRI SRIDHAR,Yuvajana Sramika Rythu Congress Party,676809,50.97,Won
Andhra Pradesh,Hindupur,KURUVA GORANTLA MADHAV,Yuvajana Sramika Rythu Congress Party,706602,52.79,Won
Andhra Pradesh,Kadapa,Y.S.Avinash Reddy,Yuvajana Sramika Rythu Congress Party,783799,63.8,Won
Andhra Pradesh,Kurnool,AYUSHMAN DOCTOR SANJEEV KUMAR,Yuvajana Sramika Rythu Congress Party,602554,50.98,Won
Andhra Pradesh,Machilipatnam,BALASHOWRY VALLABHANENI,Yuvajana Sramika Rythu Congress Party,571436,46.02,Won
Andhra Pradesh,Nandyal,POCHA . BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,720888,55.49,Won
Andhra Pradesh,Narasaraopet,LAVU SRI KRISHNA DEVARAYALU,Yuvajana Sramika Rythu Congress Party,745089,51.83,Won
Andhra Pradesh,Narsapuram,KANUMURU RAGHU RAMA KRISHNA RAJU,Yuvajana Sramika Rythu Congress Party,447594,38.11,Won
Andhra Pradesh,Nellore,Adala Prabhakara Reddy,Yuvajana Sramika Rythu Congress Party,683830,53.13,Won
Andhra Pradesh,Ongole,MAGUNTA SREENIVASULU REDDY,Yuvajana Sramika Rythu Congress Party,739202,55.07,Won
Andhra Pradesh,Rajahmundry,MARGANI BHARAT,Yuvajana Sramika Rythu Congress Party,582024,46.55,Won
Andhra Pradesh,Rajampet,P.V.MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,702211,57.35,Won
Andhra Pradesh,Srikakulam,KINJARAPU RAM MOHAN NAIDU,Telugu Desam,534544,46.19,Won
Andhra Pradesh,Tirupati,Balli Durga Prasad Rao,Yuvajana Sramika Rythu Congress Party,722877,55.03,Won
Andhra Pradesh,Vijayawada,KESINENI SRINIVAS (NANI),Telugu Desam,575498,45.04,Won
Andhra Pradesh,Visakhapatnam,M V V SATYANARAYANA,Yuvajana Sramika Rythu Congress Party,436906,35.24,Won
Andhra Pradesh,Vizianagaram,Bellana Chandra Sekhar,Yuvajana Sramika Rythu Congress Party,578418,47.49,Won
Andhra Pradesh,Guntur,Jayadev Galla,Telugu Desam,587918,43.5,Won
Andhra Pradesh,Kakinada,VANGA GEETHAVISWANATH,Yuvajana Sramika Rythu Congress Party,537630,43.54,Won
Arunachal Pradesh,ARUNACHAL EAST,Tapir Gao,Bharatiya Janata Party,153883,52.38,Won
Arunachal Pradesh,ARUNACHAL WEST,KIREN RIJIJU,Bharatiya Janata Party,225796,63.02,Won
Assam,Autonomous District,HOREN SING BEY,Bharatiya Janata Party,381316,61.73,Won
Assam,Barpeta,Abdul Khaleque,Indian National Congress,645173,44.23,Won
Assam,Dhubri,BADRUDDIN AJMAL,All India United Democratic Front,718764,42.66,Won
Assam,Dibrugarh,RAMESWAR TELI,Bharatiya Janata Party,659583,64.94,Won
Assam,Gauhati,QUEEN OJA,Bharatiya Janata Party,1008936,57.2,Won
Assam,Jorhat,TOPON KUMAR GOGOI,Bharatiya Janata Party,543288,51.35,Won
Assam,Kaliabor,Gaurav Gogoi,Indian National Congress,786092,55.18,Won
Assam,Karimganj,KRIPANATH MALLAH,Bharatiya Janata Party,473046,44.62,Won
Assam,Kokrajhar,Naba Kumar Sarania,Independent,484560,32.75,Won
Assam,Lakhimpur,PRADAN BARUAH,Bharatiya Janata Party,776406,60.49,Won
Assam,Mangaldoi,DILIP SAIKIA,Bharatiya Janata Party,735469,48.83,Won
Assam,Nowgong,Pradyut Bordoloi,Indian National Congress,739724,49.53,Won
Assam,Silchar,RAJDEEP ROY,Bharatiya Janata Party,499414,52.59,Won
Assam,Tezpur,PALLAB LOCHAN DAS,Bharatiya Janata Party,684166,57.48,Won
Bihar,Araria,PRADEEP KUMAR SINGH,Bharatiya Janata Party,618434,52.87,Won
Bihar,Arrah,R. K. Singh,Bharatiya Janata Party,566480,52.42,Won
Bihar,Aurangabad,SUSHIL KUMAR SINGH,Bharatiya Janata Party,431541,45.83,Won
Bihar,Banka,GIRIDHARI YADAV,Janata Dal (United),477788,47.98,Won
Bihar,Begusarai,Giriraj Singh,Bharatiya Janata Party,692193,56.48,Won
Bihar,Bhagalpur,AJAY KUMAR MANDAL,Janata Dal (United),618254,59.3,Won
Bihar,Buxar,Ashwini Kumar Choubey,Bharatiya Janata Party,473053,47.94,Won
Bihar,Darbhanga,Gopal Jee Thakur,Bharatiya Janata Party,586668,60.79,Won
Bihar,Gaya (SC),Vijay Kumar,Janata Dal (United),467007,48.79,Won
Bihar,Gopalganj (SC),DR. ALOK KUMAR SUMAN,Janata Dal (United),568150,55.44,Won
Bihar,Hajipur (SC),PASHU PATI KUMAR PARAS,Lok Jan Shakti Party,541310,53.76,Won
Bihar,Jahanabad,CHANDESHWAR PRASAD,Janata Dal (United),335584,40.82,Won
Bihar,Jamui (SC),CHIRAG KUMAR PASWAN,Lok Jan Shakti Party,529134,55.75,Won
Bihar,Jhanjharpur,Ramprit Mandal,Janata Dal (United),602391,56.8,Won
Bihar,Karakat,MAHABALI SINGH,Janata Dal (United),398408,45.86,Won
Bihar,Katihar,DULAL CHANDRA GOSWAMI,Janata Dal (United),559423,50.05,Won
Bihar,Khagaria,Choudhary Mehboob Ali Kaiser,Lok Jan Shakti Party,510193,52.77,Won
Bihar,Kishanganj,Dr. Mohammad Jawed,Indian National Congress,367017,33.32,Won
Bihar,Madhepura,Dinesh Chandra Yadav,Janata Dal (United),624334,54.42,Won
Bihar,Madhubani,ASHOK KUMAR YADAV,Bharatiya Janata Party,595843,61.83,Won
Bihar,Maharajganj,"Janardan Singh 'Sigriwal""",Bharatiya Janata Party,546352,56.17,Won
Bihar,Munger,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal (United),528762,51.03,Won
Bihar,Muzaffarpur,Ajay Nishad,Bharatiya Janata Party,666878,63.03,Won
Bihar,Nalanda,Kaushlendra Kumar,Janata Dal (United),540888,52.45,Won
Bihar,Nawada,Chandan Singh,Lok Jan Shakti Party,495684,52.59,Won
Bihar,Paschim Champaran,DR. SANJAY JAISWAL,Bharatiya Janata Party,603706,59.6,Won
Bihar,Pataliputra,RAM KRIPAL YADAV,Bharatiya Janata Party,509557,47.28,Won
Bihar,Patna Sahib,RAVI SHANKAR PRASAD,Bharatiya Janata Party,607506,61.85,Won
Bihar,Purnia,SANTOSH KUMAR,Janata Dal (United),632924,54.85,Won
Bihar,Purvi Champaran,RADHA MOHAN SINGH,Bharatiya Janata Party,577787,57.81,Won
Bihar,Samastipur (SC),Ramchandra Paswan,Lok Jan Shakti Party,562443,55.19,Won
Bihar,Saran,Rajiv Pratap Rudy,Bharatiya Janata Party,499342,53.03,Won
Bihar,Sasaram (SC),CHHEDI PASWAN,Bharatiya Janata Party,494800,50.76,Won
Bihar,Sheohar,RAMA DEVI,Bharatiya Janata Party,608678,60.59,Won
Bihar,Sitamarhi,Sunil Kumar Pintu,Janata Dal (United),567745,54.65,Won
Bihar,Siwan,Kavita Singh,Janata Dal (United),448473,45.54,Won
Bihar,Supaul,Dileshwar Kamait,Janata Dal (United),597377,53.78,Won
Bihar,Ujiarpur,Nityanand Rai,Bharatiya Janata Party,543906,56.11,Won
Bihar,Vaishali,Veena Devi (W/o Dinesh Prasad Singh),Lok Jan Shakti Party,568215,52.87,Won
Bihar,Valmiki Nagar,BAIDYANATH PRASAD MAHTO,Janata Dal (United),602660,58.39,Won
Chandigarh,CHANDIGARH,KIRRON KHER,Bharatiya Janata Party,231188,50.64,Won
Chhattisgarh,BASTAR,DEEPAK BAIJ,Indian National Congress,402527,44.1,Won
Chhattisgarh,BILASPUR,ARUN SAO,Bharatiya Janata Party,634559,52.47,Won
Chhattisgarh,DURG,VIJAY BAGHEL,Bharatiya Janata Party,849374,61.02,Won
Chhattisgarh,JANJGIR-CHAMPA,GUHARAM AJGALLEY,Bharatiya Janata Party,572790,45.91,Won
Chhattisgarh,KANKER,MOHAN MANDAVI,Bharatiya Janata Party,546233,47.12,Won
Chhattisgarh,KORBA,JYOTSNA CHARANDAS MAHANT,Indian National Congress,523410,46.03,Won
Chhattisgarh,MAHASAMUND,CHUNNI LAL SAHU,Bharatiya Janata Party,616580,50.44,Won
Chhattisgarh,RAIGARH,GOMATI SAI,Bharatiya Janata Party,658335,48.76,Won
Chhattisgarh,RAIPUR,Sunil Kumar Soni,Bharatiya Janata Party,837902,60.01,Won
Chhattisgarh,RAJNANDGAON,SANTOSH PANDEY,Bharatiya Janata Party,662387,50.68,Won
Chhattisgarh,SARGUJA,Renuka Singh Saruta,Bharatiya Janata Party,663711,51.82,Won
Dadra & Nagar Haveli,Dadra And Nagar Haveli,DELKAR MOHANBHAI SANJIBHAI,Independent,90421,45.44,Won
Daman & Diu,Daman & diu,LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party,37597,42.98,Won
Goa,North Goa,SHRIPAD YESSO NAIK,Bharatiya Janata Party,244844,57.12,Won
Goa,South Goa,COSME FRANCISCO CAITANO SARDINHA,Indian National Congress,201561,47.47,Won
Gujarat,Ahmedabad East,Patel Hasmukhbhai Somabhai,Bharatiya Janata Party,749834,67.17,Won
Gujarat,Ahmedabad West,DR. KIRIT P. SOLANKI,Bharatiya Janata Party,641622,64.35,Won
Gujarat,Amreli,Kachhadiya Naranbhai Bhikhabhai,Bharatiya Janata Party,529035,58.19,Won
Gujarat,Anand,PATEL MITESH RAMESHBHAI (BAKABHAI),Bharatiya Janata Party,633097,57.1,Won
Gujarat,Banaskantha,PARBATBHAI SAVABHAI PATEL,Bharatiya Janata Party,679108,61.62,Won
Gujarat,Bardoli,PARBHUBHAI NAGARBHAI VASAVA,Bharatiya Janata Party,742273,55.06,Won
Gujarat,Bharuch,Mansukhbhai Dhanjibhai Vasava,Bharatiya Janata Party,637795,55.47,Won
Gujarat,Bhavnagar,DR.BHARATIBEN DHIRUBHAI SHIYAL,Bharatiya Janata Party,661273,63.51,Won
Gujarat,Chhota Udaipur,RATHVA GITABEN VAJESINGBHAI,Bharatiya Janata Party,764445,62.03,Won
Gujarat,Dahod,JASHVANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,561760,52.84,Won
Gujarat,Gandhinagar,AMIT SHAH,Bharatiya Janata Party,894624,69.67,Won
Gujarat,Jamnagar,POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party,591588,58.52,Won
Gujarat,Junagadh,CHUDASAMA RAJESHBHAI NARANBHAI,Bharatiya Janata Party,547952,54.51,Won
Gujarat,Kachchh,CHAVDA VINOD LAKHAMSHI,Bharatiya Janata Party,637034,62.26,Won
Gujarat,Kheda,Chauhan Devusinh,Bharatiya Janata Party,714572,65.04,Won
Gujarat,Mahesana,SHARDABEN ANILBHAI PATEL,Bharatiya Janata Party,659525,60.96,Won
Gujarat,Navsari,C. R. Patil,Bharatiya Janata Party,972739,74.37,Won
Gujarat,Panchmahal,Ratansinh Magansinh Rathod,Bharatiya Janata Party,732136,67.56,Won
Gujarat,Patan,DABHI BHARATSINHJI SHANKARJI,Bharatiya Janata Party,633368,56.24,Won
Gujarat,Porbandar,RAMESHBHAI LAVJIBHAI DHADUK,Bharatiya Janata Party,563881,59.36,Won
Gujarat,Rajkot,KUNDARIA MOHANBHAI KALYANJIBHAI,Bharatiya Janata Party,758645,63.47,Won
Gujarat,Sabarkantha,RATHOD DIPSINH SHANKARSINH,Bharatiya Janata Party,701984,57.62,Won
Gujarat,Surat,Darshana Vikram Jardosh,Bharatiya Janata Party,795651,74.47,Won
Gujarat,Surendranagar,Dr. MUNJAPARA MAHENDRABHAI,Bharatiya Janata Party,631844,58.63,Won
Gujarat,Vadodara,RANJANBEN BHATT,Bharatiya Janata Party,883719,72.3,Won
Gujarat,Valsad,Dr.K.C.PATEL,Bharatiya Janata Party,771980,61.25,Won
Haryana,Ambala,RATTAN LAL KATARIA,Bharatiya Janata Party,746508,56.72,Won
Haryana,Bhiwani-Mahendragarh,Dharambir Singh S/o Bhale Ram,Bharatiya Janata Party,736699,63.45,Won
Haryana,Faridabad,KRISHAN PAL,Bharatiya Janata Party,913222,68.8,Won
Haryana,Gurgaon,RAO INDERJIT SINGH,Bharatiya Janata Party,881546,60.94,Won
Haryana,Hisar,BRIJENDRA SINGH,Bharatiya Janata Party,603289,51.13,Won
Haryana,Karnal,Sanjay Bhatia,Bharatiya Janata Party,911594,70.08,Won
Haryana,Kurukshetra,NAYAB SINGH,Bharatiya Janata Party,688629,55.98,Won
Haryana,Rohtak,ARVIND KUMAR SHARMA,Bharatiya Janata Party,573845,47.01,Won
Haryana,Sirsa,Sunita Duggal,Bharatiya Janata Party,714351,52.16,Won
Haryana,Sonipat,RAMESH CHANDER KAUSHIK,Bharatiya Janata Party,587664,52.03,Won
Himachal Pradesh,Hamirpur,ANURAG SINGH THAKUR,Bharatiya Janata Party,682692,69.04,Won
Himachal Pradesh,Kangra,Kishan Kapoor,Bharatiya Janata Party,725218,72.02,Won
Himachal Pradesh,Mandi,RAM SWAROOP SHARMA,Bharatiya Janata Party,647189,68.75,Won
Himachal Pradesh,Shimla,SURESH KUMAR KASHYAP,Bharatiya Janata Party,606183,66.35,Won
Jammu & Kashmir,Anantnag,HASNAIN MASOODI,Jammu & Kashmir National Conference,40180,32.17,Won
Jammu & Kashmir,Baramulla,MOHAMMAD AKBAR LONE,Jammu & Kashmir National Conference,133426,29.29,Won
Jammu & Kashmir,Jammu,Jugal Kishore,Bharatiya Janata Party,858066,58.02,Won
Jammu & Kashmir,Ladakh,Jamyang Tsering Namgyal,Bharatiya Janata Party,42914,33.94,Won
Jammu & Kashmir,Srinagar,Farooq Abdullah,Jammu & Kashmir National Conference,106750,57.14,Won
Jammu & Kashmir,Udhampur,DR. JITENDRA SINGH,Bharatiya Janata Party,724311,61.38,Won
Jharkhand,Chatra,SUNIL KUMAR SINGH,Bharatiya Janata Party,528077,57.03,Won
Jharkhand,Dhanbad,PASHUPATI NATH SINGH,Bharatiya Janata Party,827234,66.03,Won
Jharkhand,Dumka,SUNIL SOREN,Bharatiya Janata Party,484923,47.26,Won
Jharkhand,Giridih,Chandra Prakash Choudhary,AJSU Party,648277,58.57,Won
Jharkhand,Godda,Nishikant Dubey,Bharatiya Janata Party,637610,53.4,Won
Jharkhand,Hazaribagh,JAYANT SINHA,Bharatiya Janata Party,728798,67.42,Won
Jharkhand,Jamshedpur,Bidyut Baran Mahato,Bharatiya Janata Party,679632,59.4,Won
Jharkhand,Khunti,ARJUN MUNDA,Bharatiya Janata Party,382638,45.97,Won
Jharkhand,Kodarma,ANNPURNA DEVI,Bharatiya Janata Party,753016,62.26,Won
Jharkhand,Lohardaga,SUDARSHAN BHAGAT,Bharatiya Janata Party,371595,45.45,Won
Jharkhand,Palamau,VISHNU DAYAL RAM,Bharatiya Janata Party,755659,62.46,Won
Jharkhand,Rajmahal,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,507830,48.47,Won
Jharkhand,Ranchi,SANJAY SETH,Bharatiya Janata Party,706828,57.21,Won
Jharkhand,Singhbhum,GEETA KORA,Indian National Congress,431815,49.11,Won
Karnataka,Bagalkot,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janata Party,664638,55.17,Won
Karnataka,Bangalore central,P. C. Mohan,Bharatiya Janata Party,602853,50.35,Won
Karnataka,Bangalore North,D.V. Sadananda Gowda,Bharatiya Janata Party,824500,52.87,Won
Karnataka,Bangalore Rural,D.K. SURESH,Indian National Congress,878258,54.15,Won
Karnataka,Bangalore South,TEJASVI SURYA,Bharatiya Janata Party,739229,62.2,Won
Karnataka,Belgaum,ANGADI SURESH CHANNABASAPPA,Bharatiya Janata Party,761991,63.22,Won
Karnataka,Bellary,Y. DEVENDRAPPA,Bharatiya Janata Party,616388,50.44,Won
Karnataka,Bidar,BHAGWANTH KHUBA,Bharatiya Janata Party,585471,52.41,Won
Karnataka,Bijapur,JIGAJINAGI RAMESH CHANDAPPA,Bharatiya Janata Party,635867,57.22,Won
Karnataka,Chamarajanagar,V. SRINIVAS PRASAD,Bharatiya Janata Party,568537,44.74,Won
Karnataka,Chikkballapur,B.N.Bache Gowda,Bharatiya Janata Party,745912,53.78,Won
Karnataka,Chikkodi,ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party,645017,52.98,Won
Karnataka,Chitradurga,A NARAYANASWAMY,Bharatiya Janata Party,626195,50.26,Won
Karnataka,Dakshina Kannada,NALIN KUMAR KATEEL,Bharatiya Janata Party,774285,57.57,Won
Karnataka,Davanagere,G M SIDDESHWAR,Bharatiya Janata Party,652996,54.66,Won
Karnataka,Dharwad,Pralhad Joshi,Bharatiya Janata Party,684837,56.43,Won
Karnataka,Gulbarga,DR. UMESH G JADHAV,Bharatiya Janata Party,620192,52.14,Won
Karnataka,Hassan,PRAJWAL REVANNA,Janata Dal (Secular),676606,52.96,Won
Karnataka,Haveri,UDASI. S.C.,Bharatiya Janata Party,683660,53.97,Won
Karnataka,Kolar,S. MUNISWAMY,Bharatiya Janata Party,709165,56.35,Won
Karnataka,Koppal,KARADI SANGANNA AMARAPPA,Bharatiya Janata Party,586783,49.3,Won
Karnataka,Mandya,SUMALATHA AMBAREESH,Independent,703660,51.02,Won
Karnataka,Mysore,PRATHAP SIMHA,Bharatiya Janata Party,688974,52.27,Won
Karnataka,Raichur,RAJA AMARESHWARA NAIK,Bharatiya Janata Party,598337,53.21,Won
Karnataka,Shimoga,B.Y.RAGHAVENDRA.,Bharatiya Janata Party,729872,56.86,Won
Karnataka,Tumkur,G. S. BASAVARAJ,Bharatiya Janata Party,596127,47.89,Won
Karnataka,Udupi Chikmagalur,SHOBHA KARANDLAJE,Bharatiya Janata Party,718916,62.46,Won
Karnataka,Uttara Kannada,ANANTKUMAR HEGDE,Bharatiya Janata Party,786042,68.15,Won
Kerala,Alappuzha,Adv. A M ARIFF,Communist Party of India (Marxist),445970,40.96,Won
Kerala,Alathur,RAMYA HARIDAS,Indian National Congress,533815,52.4,Won
Kerala,Attingal,Adv. ADOOR PRAKASH,Indian National Congress,380995,37.91,Won
Kerala,Chalakudy,BENNY BEHANAN,Indian National Congress,473444,47.81,Won
Kerala,Ernakulam,HIBI EDEN,Indian National Congress,491263,50.79,Won
Kerala,Idukki,Adv. DEAN KURIAKOSE,Indian National Congress,498493,54.23,Won
Kerala,Kannur,K. SUDHAKARAN,Indian National Congress,529741,50.27,Won
Kerala,Kasaragod,Rajmohan Unnithan,Indian National Congress,474961,43.18,Won
Kerala,Kollam,N.K.Premachandran,Revolutionary Socialist Party,499677,51.61,Won
Kerala,Kottayam,Thomas Chazhikadan,Kerala Congress (M),421046,46.25,Won
Kerala,Kozhikode,M.K.RAGHAVAN,Indian National Congress,493444,45.85,Won
Kerala,Malappuram,P.K. Kunhalikutty,Indian Union Muslim League,589873,57.01,Won
Kerala,Mavelikkara,KODIKUNNIL SURESH,Indian National Congress,440415,45.36,Won
Kerala,Palakkad,V K SREEKANDAN,Indian National Congress,399274,38.83,Won
Kerala,Pathanamthitta,ANTO ANTONY,Indian National Congress,380927,37.11,Won
Kerala,Ponnani,E. T. Mohammed Basheer,Indian Union Muslim League,521824,51.3,Won
Kerala,Thiruvananthapuram,Dr. SHASHI THAROOR,Indian National Congress,416131,41.19,Won
Kerala,Thrissur,T. N. PRATHAPAN,Indian National Congress,415089,39.84,Won
Kerala,Vadakara,K. MURALEEDHARAN,Indian National Congress,526755,49.43,Won
Kerala,Wayanad,Rahul Gandhi,Indian National Congress,706367,64.67,Won
Lakshadweep,Lakshadweep,MOHAMMED FAIZAL PP,Nationalist Congress Party,22851,48.61,Won
Madhya Pradesh,BALAGHAT,DR DHAL SINGH BISEN,Bharatiya Janata Party,696102,50.74,Won
Madhya Pradesh,BETUL,DURGA DAS (D.D.) UIKEY,Bharatiya Janata Party,811248,59.74,Won
Madhya Pradesh,BHIND,SANDHYA RAY,Bharatiya Janata Party,527694,54.93,Won
Madhya Pradesh,BHOPAL,SADHVI PRAGYA SINGH THAKUR,Bharatiya Janata Party,866482,61.54,Won
Madhya Pradesh,CHHINDWARA,NAKUL KAMAL NATH,Indian National Congress,587305,47.06,Won
Madhya Pradesh,DAMOH,PRAHALAD SINGH PATEL,Bharatiya Janata Party,704524,60.51,Won
Madhya Pradesh,DEWAS,MAHENDRA SINGH SOLANKY,Bharatiya Janata Party,862429,61.65,Won
Madhya Pradesh,DHAR,CHATTARSINGH DARBAR,Bharatiya Janata Party,722147,53.73,Won
Madhya Pradesh,GUNA,"KRISHNA PAL SINGH ""Dr. K. P. YADAV""",Bharatiya Janata Party,614049,52.11,Won
Madhya Pradesh,GWALIOR,VIVEK NARAYAN SHEJWALKAR,Bharatiya Janata Party,627250,52.44,Won
Madhya Pradesh,HOSHANGABAD,UDAY PRATAP SINGH,Bharatiya Janata Party,877927,69.35,Won
Madhya Pradesh,INDORE,SHANKAR LALWANI,Bharatiya Janata Party,1068569,65.59,Won
Madhya Pradesh,JABALPUR,RAKESH SINGH,Bharatiya Janata Party,826454,65.41,Won
Madhya Pradesh,KHAJURAHO,V.D. SHARMA (VISHNU DATT SHARMA),Bharatiya Janata Party,811135,64.49,Won
Madhya Pradesh,KHANDWA,NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),Bharatiya Janata Party,838909,57.14,Won
Madhya Pradesh,KHARGONE,GAJENDRA UMRAO SINGH PATEL,Bharatiya Janata Party,773550,54.19,Won
Madhya Pradesh,MANDLA,FAGGAN SINGH KULASTE,Bharatiya Janata Party,737266,48.59,Won
Madhya Pradesh,MANDSOUR,Sudheer Gupta,Bharatiya Janata Party,847786,61.85,Won
Madhya Pradesh,MORENA,NARENDRA SINGH TOMAR,Bharatiya Janata Party,541689,47.63,Won
Madhya Pradesh,RAJGARH,RODMAL NAGAR,Bharatiya Janata Party,823824,65.37,Won
Madhya Pradesh,RATLAM,GUMAN SINGH DAMOR,Bharatiya Janata Party,696103,49.7,Won
Madhya Pradesh,REWA,JANARDAN MISHRA,Bharatiya Janata Party,583745,57.61,Won
Madhya Pradesh,SAGAR,RAJBAHADUR SINGH,Bharatiya Janata Party,646231,62.31,Won
Madhya Pradesh,SATNA,GANESH SINGH,Bharatiya Janata Party,588753,52.87,Won
Madhya Pradesh,SHAHDOL,HIMADRI SINGH,Bharatiya Janata Party,747977,60.43,Won
Madhya Pradesh,SIDHI,Riti Pathak,Bharatiya Janata Party,698342,54.44,Won
Madhya Pradesh,TIKAMGARH,Dr Virendra Kumar,Bharatiya Janata Party,672248,61.3,Won
Madhya Pradesh,UJJAIN,ANIL FIROJIYA,Bharatiya Janata Party,791663,63.21,Won
Madhya Pradesh,VIDISHA,Ramakant Bhargava,Bharatiya Janata Party,853022,68.23,Won
Maharashtra,Ahmadnagar,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,Bharatiya Janata Party,704660,58.54,Won
Maharashtra,Akola,Dhotre Sanjay Shamrao,Bharatiya Janata Party,554444,49.53,Won
Maharashtra,Amravati,Navnit Ravi Rana,Independent,510947,45.93,Won
Maharashtra,Aurangabad,Imtiaz Jaleel Syed,All India Majlis-E-Ittehadul Muslimeen,389042,32.47,Won
Maharashtra,Baramati,Supriya Sule,Nationalist Congress Party,686714,52.63,Won
Maharashtra,Beed,Pritam Gopinathrao Munde,Bharatiya Janata Party,678175,50.15,Won
Maharashtra,Bhandara - gondiya,Sunil Baburao Mendhe,Bharatiya Janata Party,650243,52.23,Won
Maharashtra,Bhiwandi,KAPIL MORESHWAR PATIL,Bharatiya Janata Party,523583,52.09,Won
Maharashtra,Buldhana,Jadhav Prataprao Ganpatrao,Shivsena,521977,46.59,Won
Maharashtra,Chandrapur,Balubhau alias Suresh Narayan Dhanorkar,Indian National Congress,559507,45.18,Won
Maharashtra,Dhule,Bhamre Subhash Ramrao,Bharatiya Janata Party,613533,56.54,Won
Maharashtra,Dindori,Dr. Bharati Pravin Pawar,Bharatiya Janata Party,567470,49.88,Won
Maharashtra,Gadchiroli-Chimur,ASHOK MAHADEORAO NETE,Bharatiya Janata Party,519968,45.5,Won
Maharashtra,Hatkanangle,Dhairyasheel Sambhajirao Mane,Shivsena,585776,46.78,Won
Maharashtra,Hingoli,Hemant Patil,Shivsena,586312,50.65,Won
Maharashtra,Jalgaon,Unmesh Bhaiyyasaheb Patil,Bharatiya Janata Party,713874,65.6,Won
Maharashtra,Jalna,Danve Raosaheb Dadarao,Bharatiya Janata Party,698019,57.78,Won
Maharashtra,Kalyan,Dr. SHRIKANT EKNATH SHINDE,Shivsena,559723,62.87,Won
Maharashtra,Kolhapur,Sanjay Sadashivrao Mandlik,Shivsena,749085,56.29,Won
Maharashtra,Latur,Sudhakar Tukaram Shrangare,Bharatiya Janata Party,661495,56.22,Won
Maharashtra,Madha,Ranjeetsinha Hindurao Naik- Nimbalkar,Bharatiya Janata Party,586314,48.2,Won
Maharashtra,Maval,SHRIRANG APPA CHANDU BARNE,Shivsena,720663,52.65,Won
Maharashtra,Mumbai North,Gopal Shetty,Bharatiya Janata Party,706678,71.4,Won
Maharashtra,Mumbai North central,POONAM MAHAJAN,Bharatiya Janata Party,486672,53.97,Won
Maharashtra,Mumbai North East,Manoj Kotak,Bharatiya Janata Party,514599,56.61,Won
Maharashtra,Mumbai North West,Gajanan Kirtikar,Shivsena,570063,60.55,Won
Maharashtra,Mumbai South,Arvind Ganpat Sawant,Shivsena,421937,52.64,Won
Maharashtra,Mumbai South central,Rahul Ramesh Shewale,Shivsena,424913,53.3,Won
Maharashtra,Nagpur,NITIN JAIRAM GADKARI,Bharatiya Janata Party,660221,55.67,Won
Maharashtra,Nanded,Prataprao Patil Chikhalikar,Bharatiya Janata Party,486806,43.1,Won
Maharashtra,Nandurbar,Dr. Heena Vijaykumar Gavit,Bharatiya Janata Party,639136,49.86,Won
Maharashtra,Nashik,Godse Hemant Tukaram,Shivsena,563599,50.27,Won
Maharashtra,Osmanabad,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,Shivsena,596640,49.52,Won
Maharashtra,Palghar,Rajendra Dhedya Gavit,Shivsena,580479,48.3,Won
Maharashtra,Parbhani,JADHAV SANJAY (BANDU) HARIBHAU,Shivsena,538941,43.02,Won
Maharashtra,Pune,Girish Bhalchandra Bapat,Bharatiya Janata Party,632835,61.13,Won
Maharashtra,Raigad,Tatkare Sunil Dattatray,Nationalist Congress Party,486968,47.49,Won
Maharashtra,Ramtek,Krupal Balaji Tumane,Shivsena,597126,49.9,Won
Maharashtra,Ratnagiri - sindhudurg,Vinayak Raut,Shivsena,458022,50.83,Won
Maharashtra,Raver,Khadse Raksha Nikhil,Bharatiya Janata Party,655386,59.96,Won
Maharashtra,Sangli,Sanjaykaka Patil,Bharatiya Janata Party,508995,42.77,Won
Maharashtra,Satara,SHRIMANT CHH. UDAYANRAJE PRATAPSINHMAHARAJ BHONSLE,Nationalist Congress Party,579026,51.91,Won
