State,Constituency,Candidate,Party,Total Votes,% of Votes,Result
Andhra Pradesh,Bapatla (SC),KATTAPOGU. VIJAY KUMAR,Pyramid Party of India,897,0.07,Lost
Andhra Pradesh,Bapatla (SC),KONDRU KIRAN KUMAR,Independent,797,0.06,Lost
Andhra Pradesh,Bapatla (SC),KATTA ANAND BABU,Independent,729,0.06,Lost
Andhra Pradesh,Bapatla (SC),MERUGUPALA SADASIVA RAO,India Praja Bandhu Party,673,0.05,Lost
Andhra Pradesh,Bapatla (SC),KATTA HEMANAND,Independent,549,0.04,Lost
Andhra Pradesh,Bapatla (SC),PARRE. KOTAIAH,Jaibhim Rao Bharat Party,412,0.03,Lost
Andhra Pradesh,Bapatla (SC),PALADUG VIJENDRA RAO (BAHUJAN),Liberation Congress Party,306,0.02,Lost
Andhra Pradesh,Bapatla (SC),CHINNAM MURALIDHAR,All Peoples Party,255,0.02,Lost
Andhra Pradesh,Bapatla (SC),NOTA,None of the Above,13723,01.06,Lost
Andhra Pradesh,Chittoor(SC),DAGGUMALLA PRASADA RAO,Telugu Desam,778071,54.84,Won
Andhra Pradesh,Chittoor(SC),REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,557592,39.3,Lost
Andhra Pradesh,Chittoor(SC),MOTUKUR JAGAPATHI,Indian National Congress,30150,2.12,Lost
Andhra Pradesh,Chittoor(SC),THOGURU VIJAYA KUMAR,Bahujan Samaj Party,13511,0.95,Lost
Andhra Pradesh,Chittoor(SC),YUGANDAR . KONDA,Independent,6973,0.49,Lost
Andhra Pradesh,Chittoor(SC),K.MUNI KRISHNA,Independent,3956,0.28,Lost
Andhra Pradesh,Chittoor(SC),P.JANAKI RAMA RAO ( BABU),National Maha Sabha Party,2833,0.2,Lost
Andhra Pradesh,Chittoor(SC),PETA.MOHAN .,Independent,2366,0.17,Lost
Andhra Pradesh,Chittoor(SC),C.SUDHAKAR,Independent,1935,0.14,Lost
Andhra Pradesh,Chittoor(SC),N.CHANDRABABU,Independent,1885,0.13,Lost
Andhra Pradesh,Chittoor(SC),MADASI SUDHARSHAN,Independent,1578,0.11,Lost
Andhra Pradesh,Chittoor(SC),D.MAHESH,Independent,1119,0.08,Lost
Andhra Pradesh,Chittoor(SC),P.MADHU,Independent,906,0.06,Lost
Andhra Pradesh,Chittoor(SC),N.BHUPATHI,Independent,894,0.06,Lost
Andhra Pradesh,Chittoor(SC),A. PURNA CHANDRA,Independent,857,0.06,Lost
Andhra Pradesh,Chittoor(SC),PALLIPATTU.ABHINAV VISHNU,Samajwadi Party,676,0.05,Lost
Andhra Pradesh,Chittoor(SC),N.GANGAIAH .,Independent,552,0.04,Lost
Andhra Pradesh,Chittoor(SC),T NARESH,Independent,534,0.04,Lost
Andhra Pradesh,Chittoor(SC),BANDAPALLI RAMESH,Independent,493,0.03,Lost
Andhra Pradesh,Chittoor(SC),NOTA,None of the Above,11976,0.84,Lost
Andhra Pradesh,Eluru,PUTTA MAHESH KUMAR,Telugu Desam,746351,54,Won
Andhra Pradesh,Eluru,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,564494,40.84,Lost
Andhra Pradesh,Eluru,KAVURI LAVANYA,Indian National Congress,20826,1.51,Lost
Andhra Pradesh,Eluru,AJAY BABU BODA,Navarang Congress Party,12210,0.88,Lost
Andhra Pradesh,Eluru,NITTA AKHILA DHARANI PAL,Bahujan Samaj Party,6732,0.49,Lost
Andhra Pradesh,Eluru,BOKINALA KOTESWARA RAO,Independent,2263,0.16,Lost
Andhra Pradesh,Eluru,RUDRAPAKA RATNA RAO (R.R.R),Andhra Rastra Praja Samithi,1526,0.11,Lost
Andhra Pradesh,Eluru,KANDAVALLI JEEVA DEVA DAYAKAR,Independent,1180,0.09,Lost
Andhra Pradesh,Eluru,AGASTEEN KOMMINA,Independent,1004,0.07,Lost
Andhra Pradesh,Eluru,DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),Liberation Congress Party,786,0.06,Lost
Andhra Pradesh,Eluru,RAJESWARA RAO KONDRU,Bharatheeya Jawan Kisan Party,732,0.05,Lost
Andhra Pradesh,Eluru,GODUGUPATI VEERA RAGHAVULU,Pyramid Party of India,715,0.05,Lost
Andhra Pradesh,Eluru,BYRABOYINA MALYADRI,Bharatha Chaitanya Yuvajana Party,715,0.05,Lost
Andhra Pradesh,Eluru,NOTA,None of the Above,22515,1.63,Lost
Andhra Pradesh,Guntur,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,864948,60.68,Won
Andhra Pradesh,Guntur,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,520253,36.5,Lost
Andhra Pradesh,Guntur,JANGALA AJAY KUMAR,Communist Party of India,8637,0.61,Lost
Andhra Pradesh,Guntur,SIVAREDDY. ENDREDDY,Navataram Party,5629,0.39,Lost
Andhra Pradesh,Guntur,TENALI PRAKASH,Bahujan Samaj Party,4272,0.3,Lost
Andhra Pradesh,Guntur,SIKHAKOLLI HEMA GOWRI SHANKAR,Jatiya Jana Sena Party,1964,0.14,Lost
Andhra Pradesh,Guntur,SAMUDRALA CHINNA KOTAIAH,Jaibhim Rao Bharat Party,1753,0.12,Lost
Andhra Pradesh,Guntur,UMAR BHASHA SHAIK,Jana Sahayaka Sakthi,1275,0.09,Lost
Andhra Pradesh,Guntur,SYED. SAIDA,Navarang Congress Party,1222,0.09,Lost
Andhra Pradesh,Guntur,AMBATI CHALAMAIAH,Pyramid Party of India,1031,0.07,Lost
Andhra Pradesh,Guntur,PILLI BABU RAO,Independent,692,0.05,Lost
Andhra Pradesh,Guntur,HARI VENKATA SATISH  KURNALA,Jai Bharat National Party,542,0.04,Lost
Andhra Pradesh,Guntur,VISHNU REDDY LANKIREDDY,Bengaluru Nava Nirmana Party,461,0.03,Lost
Andhra Pradesh,Guntur,EMANI. CHANDRASEKHAR RAO,Navodayam Party,414,0.03,Lost
Andhra Pradesh,Guntur,SHAIK. KHAJAVALI,Independent,391,0.03,Lost
Andhra Pradesh,Guntur,CHALLAPALLI RATAN RAJU,Viduthalai Chiruthaigal Katchi,378,0.03,Lost
Andhra Pradesh,Guntur,KANNEBOYINA VAMSI KRISHNA YADAV,Independent,375,0.03,Lost
Andhra Pradesh,Guntur,MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,Andhra Pradesh Rashtra Samithi,358,0.03,Lost
Andhra Pradesh,Guntur,GAYATRI AUDHIPUDI,Independent,357,0.03,Lost
Andhra Pradesh,Guntur,ASHOK ANAND GALI,Independent,335,0.02,Lost
Andhra Pradesh,Guntur,SHAIK ASLAM AKTHER,Independent,335,0.02,Lost
Andhra Pradesh,Guntur,PATHAN KHAJA (BASHA),Telugu Rajadhikara Samiti Party,332,0.02,Lost
Andhra Pradesh,Guntur,AMARTHALURI VENKATESWARA RAO.,Marxist Communist Party of India (United),312,0.02,Lost
Andhra Pradesh,Guntur,DR. RAYAPUDI RAJESH VIJAY KUMAR,Indian Labour Party (Ambedkar Phule),310,0.02,Lost
Andhra Pradesh,Guntur,BURAGA RATNAM,Loktantrik Janta Dal,316,0.02,Lost
Andhra Pradesh,Guntur,VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,Independent,268,0.02,Lost
Andhra Pradesh,Guntur,SIVA PARVATHI,Independent,266,0.02,Lost
Andhra Pradesh,Guntur,BOMMASANI MUTYALA RAO,All Peoples Party,207,0.01,Lost
Andhra Pradesh,Guntur,SRIKRISHNA AKKISETTI,Independent,179,0.01,Lost
Andhra Pradesh,Guntur,MADAVARAPU NAGA RAJU,Independent,172,0.01,Lost
Andhra Pradesh,Guntur,NOTA,None of the Above,7387,0.52,Lost
Andhra Pradesh,Hindupur,B K PARTHASARATHI,Telugu Desam,725534,51.23,Won
Andhra Pradesh,Hindupur,J SHANTHA,Yuvajana Sramika Rythu Congress Party,593107,41.88,Lost
Andhra Pradesh,Hindupur,B A SAMAD SHAHEEN,Indian National Congress,55059,3.89,Lost
Andhra Pradesh,Hindupur,BHAGYA R S,Bahujan Samaj Party,8015,0.57,Lost
Andhra Pradesh,Hindupur,PRATHAP REDDY GORLA,Independent,5444,0.38,Lost
Andhra Pradesh,Hindupur,H D HANUMANTHE GOWD,Independent,2278,0.16,Lost
Andhra Pradesh,Hindupur,ANJINAPPA GARI SREENIVASULU,Revolutionary Socialist Party,2051,0.14,Lost
Andhra Pradesh,Hindupur,S N SURESH,Independent,1631,0.12,Lost
Andhra Pradesh,Hindupur,DASAGANIPALLI KULLAYAPPA,Independent,1328,0.09,Lost
Andhra Pradesh,Hindupur,ASHOK,Socialist Unity Centre Of India (COMMUNIST),1292,0.09,Lost
Andhra Pradesh,Hindupur,T SUDHAKAR REDDY,Independent,1237,0.09,Lost
Andhra Pradesh,Hindupur,S RAGHUNATHA REDDY,Independent,710,0.05,Lost
Andhra Pradesh,Hindupur,BUDILI DHANUNJAYA,National Nava Kranthi Party,682,0.05,Lost
Andhra Pradesh,Hindupur,NOTA,None of the Above,17971,1.27,Lost
Andhra Pradesh,Kadapa,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,605143,45.78,Won
Andhra Pradesh,Kadapa,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam,542448,41.03,Lost
Andhra Pradesh,Kadapa,Y.S. SHARMILA REDDY,Indian National Congress,141039,10.67,Lost
Andhra Pradesh,Kadapa,PANDITI. GURAPPA.,Bahujan Samaj Party,3810,0.29,Lost
Andhra Pradesh,Kadapa,VENU GOPAL RACHINENI,Rashtriya Praja Congress  (Secular),3570,0.27,Lost
Andhra Pradesh,Kadapa,CHINNAPUREDDY GOPALA KRISHNA REDDY,Independent,2430,0.18,Lost
Andhra Pradesh,Kadapa,KUNCHAM. VENKATA SUBBA REDDY,Rayalaseema Rashtra Samithi,2333,0.18,Lost
Andhra Pradesh,Kadapa,L. KHAJA HUSSAIN,Independent,1088,0.08,Lost
Andhra Pradesh,Kadapa,ANKIREDDY. SURESH KUMAR REDDY.,All India Forward Bloc,755,0.06,Lost
Andhra Pradesh,Kadapa,KAKARLA SHANMUKHA REDDY,Independent,647,0.05,Lost
Andhra Pradesh,Kadapa,PALLE RAMESH,Jaibhim Rao Bharat Party,624,0.05,Lost
Andhra Pradesh,Kadapa,CHAN BASHA. S,Anna YSR Congress Party,439,0.03,Lost
Andhra Pradesh,Kadapa,J. V. RAMANA,Jaathia Chethi Vruthula Ikya Vedika Party,434,0.03,Lost
Andhra Pradesh,Kadapa,MALIKIREDDY. HANUMANTHA REDDY,Jana Sahayaka Sakthi,369,0.03,Lost
Andhra Pradesh,Kadapa,NOTA,None of the Above,16846,1.27,Lost
Andhra Pradesh,Kakinada,TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),Janasena Party,729699,54.87,Won
Andhra Pradesh,Kakinada,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,500208,37.62,Lost
Andhra Pradesh,Kakinada,MALLIPUDI MANGAPATI PALLAM RAJU,Indian National Congress,21109,1.59,Lost
Andhra Pradesh,Kakinada,UDAY,Navarang Congress Party,15703,1.18,Lost
Andhra Pradesh,Kakinada,KANDREGULA NARASIMHAM,Bahujan Samaj Party,11979,0.9,Lost
Andhra Pradesh,Kakinada,DR ANUSHA YADAV,Bharatha Chaitanya Yuvajana Party,9854,0.74,Lost
Andhra Pradesh,Kakinada,TANGELLA SRINIVASU,Jatiya Jana Sena Party,6559,0.49,Lost
Andhra Pradesh,Kakinada,YEDIDA VARA PRASAD KUMAR,Republican Party of India (A),3927,0.3,Lost
Andhra Pradesh,Kakinada,BUGATHA BANGARRAO,Communist Party of India  (Marxist-Leninist)  (Liberation),2823,0.21,Lost
Andhra Pradesh,Kakinada,SUDHA VEERA GANESH,Independent,2647,0.2,Lost
Andhra Pradesh,Kakinada,BHAVANI SANKAR PRASAD MERLA,Independent,1969,0.15,Lost
Andhra Pradesh,Kakinada,YENUGUPALLI KRISHNA,Jaibhim Rao Bharat Party,1780,0.13,Lost
Andhra Pradesh,Kakinada,BODDETI APPARAO,Independent,1687,0.13,Lost
Andhra Pradesh,Kakinada,NEELAKANTAM DONAM,Independent,1412,0.11,Lost
Andhra Pradesh,Kakinada,PASUPULETI S.V.S.BHUSHANAM,Independent,1227,0.09,Lost
Andhra Pradesh,Kakinada,NOTA,None of the Above,17220,1.29,Lost
Andhra Pradesh,Kurnoolu,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,658914,49.51,Won
Andhra Pradesh,Kurnoolu,B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,547616,41.15,Lost
Andhra Pradesh,Kurnoolu,P.G.RAMPULLAIAH YADAV LUCKY-2,Indian National Congress,70373,5.29,Lost
Andhra Pradesh,Kurnoolu,MANCHALA LAKSHMI NARAYANA,Bahujan Samaj Party,8589,0.65,Lost
Andhra Pradesh,Kurnoolu,BOYA SURESH,Independent,5900,0.44,Lost
Andhra Pradesh,Kurnoolu,T. BEECHUPALLI,Independent,5127,0.39,Lost
Andhra Pradesh,Kurnoolu,VIJAYA BHASKAR .REDDYPOGU,Independent,3508,0.26,Lost
Andhra Pradesh,Kurnoolu,PAGADALA KODANDA,Independent,3076,0.23,Lost
Andhra Pradesh,Kurnoolu,DEVARAPOGU MADDILETY,Independent,2582,0.19,Lost
Andhra Pradesh,Kurnoolu,PRAKASH REDDY RALAMPADU,Independent,2225,0.17,Lost
Andhra Pradesh,Kurnoolu,JAHANGIR AHMED,Social Democratic Party Of India,2074,0.16,Lost
Andhra Pradesh,Kurnoolu,DR. REDDYPOGU PRAVEEN KUMAR,Independent,1856,0.14,Lost
Andhra Pradesh,Kurnoolu,ABDUL SATTAR  A.S.R,Anna YSR Congress Party,1601,0.12,Lost
Andhra Pradesh,Kurnoolu,VALMIKI ARJUNA,Bharatha Chaitanya Yuvajana Party,1390,0.1,Lost
Andhra Pradesh,Kurnoolu,URUKUNDU VADDE,Independent,1295,0.1,Lost
Andhra Pradesh,Kurnoolu,MALLEPOGU NAGANNA,Socialist Unity Centre Of India (COMMUNIST),1164,0.09,Lost
Andhra Pradesh,Kurnoolu,SUNKARA SREEDHAR,Jai Bharat National Party,1163,0.09,Lost
Andhra Pradesh,Kurnoolu,TARIGOPULA RAJABABU,All Peoples Party,1033,0.08,Lost
Andhra Pradesh,Kurnoolu,AMRUTH KUMAR SALKAPURAM,Liberation Congress Party,783,0.06,Lost
Andhra Pradesh,Kurnoolu,NOTA,None of the Above,10511,0.79,Lost
Andhra Pradesh,Machilipatnam,BALASHOWRY VALLABHANENI,Janasena Party,724439,55.22,Won
Andhra Pradesh,Machilipatnam,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,501260,38.21,Lost
Andhra Pradesh,Machilipatnam,GOLLU KRISHNA,Indian National Congress,31825,2.43,Lost
Andhra Pradesh,Machilipatnam,BAAL SHOURI CHODABATHINA,Jatiya Jana Sena Party,11141,0.85,Lost
Andhra Pradesh,Machilipatnam,DEVAMANI DEVARAPALLI,Bahujan Samaj Party,10028,0.76,Lost
Andhra Pradesh,Machilipatnam,KOMMARAJU SIVA NARASIMHA RAO,All India Forward Bloc,5254,0.4,Lost
Andhra Pradesh,Machilipatnam,VALLABHANENI NAGA PAVAN KUMAR,Independent,5220,0.4,Lost
Andhra Pradesh,Machilipatnam,MARADANI K R SWAMY,Jai Maha Bharath Party,2214,0.17,Lost
Andhra Pradesh,Machilipatnam,GANDHI  DHANEKULA,Independent,1991,0.15,Lost
Andhra Pradesh,Machilipatnam,PAMULA BALA SOWRYAMMA,Independent,1582,0.12,Lost
Andhra Pradesh,Machilipatnam,ANUSHA YERUVA,Independent,1235,0.09,Lost
Andhra Pradesh,Machilipatnam,GUDAVALLI VENKATA KEDARESWARA RAO,Independent,1111,0.08,Lost
Andhra Pradesh,Machilipatnam,JOGI VEERANJANEYULU,Independent,1022,0.08,Lost
Andhra Pradesh,Machilipatnam,DAMODARA RAO GUDAVALLI,Independent,930,0.07,Lost
Andhra Pradesh,Machilipatnam,APPARAO ENNETI,Independent,626,0.05,Lost
Andhra Pradesh,Machilipatnam,NOTA,None of the Above,12126,0.92,Lost
Andhra Pradesh,Nandyal,DR BYREDDY SHABARI,Telugu Desam,701131,49.92,Won
Andhra Pradesh,Nandyal,POCHA BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,589156,41.95,Lost
Andhra Pradesh,Nandyal,J LAKSHMI NARASIMHA YADAV,Indian National Congress,56204,4,Lost
Andhra Pradesh,Nandyal,P GURUVAIAH,Independent,8191,0.58,Lost
Andhra Pradesh,Nandyal,A CHINNA MOULALI,Bahujan Samaj Party,7831,0.56,Lost
Andhra Pradesh,Nandyal,HAFIZ ATAULLAH KHAN,Social Democratic Party Of India,6932,0.49,Lost
Andhra Pradesh,Nandyal,KOMMUSANI PEDDA KAMBAGIRI SWAMY,Independent,4633,0.33,Lost
Andhra Pradesh,Nandyal,GAGGERA VENKATA RAMANAIAH,Independent,3031,0.22,Lost
Andhra Pradesh,Nandyal,DUMAVATH SWAMY NAIK,Independent,2358,0.17,Lost
Andhra Pradesh,Nandyal,KUNUKUNTLA RAMUDU,Independent,1413,0.1,Lost
Andhra Pradesh,Nandyal,E ANIL KUMAR,Independent,1334,0.09,Lost
Andhra Pradesh,Nandyal,C SURENDRA NATHA REDDY,Independent,1268,0.09,Lost
Andhra Pradesh,Nandyal,BRAHMANANDA REDDY K,Independent,1272,0.09,Lost
Andhra Pradesh,Nandyal,UPPU SUBBARAYUDU,Jaathia Chethi Vruthula Ikya Vedika Party,791,0.06,Lost
Andhra Pradesh,Nandyal,NAGESWARA RAO,Independent,680,0.05,Lost
Andhra Pradesh,Nandyal,VIJAYA BHASKAR REDDYPOGU,Independent,641,0.05,Lost
Andhra Pradesh,Nandyal,YELAMPALLE GOVARDHAN REDDY,All India Forward Bloc,642,0.05,Lost
Andhra Pradesh,Nandyal,BHUMA VEERA BHADRA REDDY,Navarang Congress Party,646,0.05,Lost
Andhra Pradesh,Nandyal,PANDU RANGA YADAV SIDDAPU,Samajwadi Party,605,0.04,Lost
Andhra Pradesh,Nandyal,CHANDINI REDDY VAKATI,Liberation Congress Party,556,0.04,Lost
