State,Constituency,Candidate,Party,Total Votes,% of Votes,Result
Andaman & Nicobar Islands,Andaman & Nicobar Islands,BISHNU PADA RAY,Bharatiya Janata Party,102436,50.58,Won
Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,Indian National Congress,78040,38.54,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,MANOJ PAUL,Andaman Nicobar Democratic Congress,8254,04.08,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,D AYYAPPAN,Communist Party of India  (Marxist),6017,2.97,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,V.K. ABDUL AZIZ,Independent,2203,01.09,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam,914,0.45,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,DR ARUN KUMAR MALLIK,Bahujan Samaj Party,719,0.36,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,RINKU MALA MONDAL,Independent,542,0.27,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,K VENKAT RAM BABU,Independent,507,0.25,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,USHA KUMARI,Independent,380,0.19,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST),351,0.17,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANAND RAMNATH ARLEKAR,Independent,342,0.17,Lost
Andaman & Nicobar Islands,Andaman & Nicobar Islands,NOTA,None of the Above,1809,0.89,Lost
Andhra Pradesh,Amalapuram (SC),G M HARISH (BALAYOGI),Telugu Desam,796981,61.25,Won
Andhra Pradesh,Amalapuram (SC),RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,454785,34.95,Lost
Andhra Pradesh,Amalapuram (SC),GOUTHAM JANGA,Indian National Congress,15082,1.16,Lost
Andhra Pradesh,Amalapuram (SC),DORABABU YALLA,Bahujan Samaj Party,5388,0.41,Lost
Andhra Pradesh,Amalapuram (SC),KATRU NAGA BABU,Telugu Nava Garjana Party,3741,0.29,Lost
Andhra Pradesh,Amalapuram (SC),VADDI LALITH KUMAR,Independent,2977,0.23,Lost
Andhra Pradesh,Amalapuram (SC),MAKEY DAVY PRASAD,Independent,2111,0.16,Lost
Andhra Pradesh,Amalapuram (SC),GUDE VENKATESWARULU,Independent,1745,0.13,Lost
Andhra Pradesh,Amalapuram (SC),RAMESH JILLELLA,Jatiya Jana Sena Party,872,0.07,Lost
Andhra Pradesh,Amalapuram (SC),YALANGI RAMESH,Jaibhim Rao Bharat Party,740,0.06,Lost
Andhra Pradesh,Amalapuram (SC),MATHA KRISHNA,Pyramid Party of India,719,0.06,Lost
Andhra Pradesh,Amalapuram (SC),GIDDI JNANA PRAKASA RAO,Republican Party of India,726,0.06,Lost
Andhra Pradesh,Amalapuram (SC),YADLA RAJESH,Liberation Congress Party,635,0.05,Lost
Andhra Pradesh,Amalapuram (SC),KAPA KALYAN,Republican Party of India (A),581,0.04,Lost
Andhra Pradesh,Amalapuram (SC),PATHURI RAMESH,Peoples Party of India (Democratic),505,0.04,Lost
Andhra Pradesh,Amalapuram (SC),NOTA,None of the Above,13518,01.04,Lost
Andhra Pradesh,Anakapalle,C.M.RAMESH,Bharatiya Janata Party,762069,57.5,Won
Andhra Pradesh,Anakapalle,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,465539,35.13,Lost
Andhra Pradesh,Anakapalle,VEGI VENKATESH,Indian National Congress,25651,1.94,Lost
Andhra Pradesh,Anakapalle,PALAKA SREERAMA MURTHY,Bahujan Samaj Party,19157,1.45,Lost
Andhra Pradesh,Anakapalle,VANKAYALA RAMACHANDRA RAO,Independent,4002,0.3,Lost
Andhra Pradesh,Anakapalle,LOVARAJU SIDDHA,Independent,3852,0.29,Lost
Andhra Pradesh,Anakapalle,KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party,3557,0.27,Lost
Andhra Pradesh,Anakapalle,GARA SURYA RAO,Independent,3124,0.24,Lost
Andhra Pradesh,Anakapalle,APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party,2619,0.2,Lost
Andhra Pradesh,Anakapalle,NAGESWARA RAO PETLA,Independent,2184,0.16,Lost
Andhra Pradesh,Anakapalle,ADARI SARAT CHANDRA,Jai Bharat National Party,1913,0.14,Lost
Andhra Pradesh,Anakapalle,VIJAYA LAKSHMI KARRI,Pyramid Party of India,1591,0.12,Lost
Andhra Pradesh,Anakapalle,DR. THUMMAPALA HARI  SHANKAR,Independent,1576,0.12,Lost
Andhra Pradesh,Anakapalle,JUNNURI J SRINIVAS,Independent,1201,0.09,Lost
Andhra Pradesh,Anakapalle,APPALANAIDU TUMMAGUNTA,Independent,1062,0.08,Lost
Andhra Pradesh,Anakapalle,NOTA,None of the Above,26235,1.98,Lost
Andhra Pradesh,Ananthapur,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,768245,53.33,Won
Andhra Pradesh,Ananthapur,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,579690,40.24,Lost
Andhra Pradesh,Ananthapur,MALLIKARJUNA VAJJALA,Indian National Congress,43217,3,Lost
Andhra Pradesh,Ananthapur,G.V.RAMANA REDDY,Independent,6439,0.45,Lost
Andhra Pradesh,Ananthapur,BANASI NARAYANAPPA,Bahujan Samaj Party,6396,0.44,Lost
Andhra Pradesh,Ananthapur,V.MURALI PRASAD REDDY,Independent,5778,0.4,Lost
Andhra Pradesh,Ananthapur,DR.NALLANI RAMESH NAIDU,Andhra Rastra Praja Samithi,4989,0.35,Lost
Andhra Pradesh,Ananthapur,M.SURENDRA,Pyramid Party of India,2935,0.2,Lost
Andhra Pradesh,Ananthapur,U.C.VENKATASUBBAIAH,Jaathia Chethi Vruthula Ikya Vedika Party,2540,0.18,Lost
Andhra Pradesh,Ananthapur,P.CHOWDESWARI,Independent,1518,0.11,Lost
Andhra Pradesh,Ananthapur,VADLA KESAVAIAH,Independent,1494,0.1,Lost
Andhra Pradesh,Ananthapur,B.RAGHAVENDRA PRASAD,Independent,1318,0.09,Lost
Andhra Pradesh,Ananthapur,KETHIREDDY RAGHUNATHAREDDY,Independent,1091,0.08,Lost
Andhra Pradesh,Ananthapur,LOKANATH GOWD SURAGOWINI,Independent,1091,0.08,Lost
Andhra Pradesh,Ananthapur,SREERANGARAJULA GOPINATH ROYAL,Independent,904,0.06,Lost
Andhra Pradesh,Ananthapur,SHAIK.NIZAM,Samajwadi Party,753,0.05,Lost
Andhra Pradesh,Ananthapur,RAMAVTH CHINNA RAMAPPA NAIK,Jaibhim Rao Bharat Party,745,0.05,Lost
Andhra Pradesh,Ananthapur,KURUBA MALLIKARJUNA.S.,All India Kisan Janatha party,578,0.04,Lost
Andhra Pradesh,Ananthapur,B.NAGAMUTHYALU,Socialist Unity Centre Of India (COMMUNIST),570,0.04,Lost
Andhra Pradesh,Ananthapur,SRINIVASA RAJU.O,Bhartiya Panchyat Party,494,0.03,Lost
Andhra Pradesh,Ananthapur,DURGA PRASAD D BYATARAYANAJI,Challengers Party,444,0.03,Lost
Andhra Pradesh,Ananthapur,NOTA,None of the Above,9199,0.64,Lost
Andhra Pradesh,Araku (ST),GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,477005,40.96,Won
Andhra Pradesh,Araku (ST),KOTHAPALLI GEETHA,Bharatiya Janata Party,426425,36.62,Lost
Andhra Pradesh,Araku (ST),APPALANARASA PACHIPENTA,Communist Party of India  (Marxist),123129,10.57,Lost
Andhra Pradesh,Araku (ST),AVASHYA LAHARI . VARAM,Bahujan Samaj Party,25750,2.21,Lost
Andhra Pradesh,Araku (ST),SAMAREDDY BALAKRISHNA,Independent,9535,0.82,Lost
Andhra Pradesh,Araku (ST),NIMMAKA JAYARAJU,Independent,9462,0.81,Lost
Andhra Pradesh,Araku (ST),ATHIDHI,Independent,8136,0.7,Lost
Andhra Pradesh,Araku (ST),CHANTI BADNAINA,Jai Bharat National Party,7252,0.62,Lost
Andhra Pradesh,Araku (ST),MOTTADAM . RAJABABU,Bharat Adivasi Party,6766,0.58,Lost
Andhra Pradesh,Araku (ST),RANJITH KUMAR PALAKA,Independent,6047,0.52,Lost
Andhra Pradesh,Araku (ST),RAMBABU JALLI,Telugu Rajadhikara Samiti Party,4959,0.43,Lost
Andhra Pradesh,Araku (ST),MANDALA GIRIDHARA RAO,Independent,4967,0.43,Lost
Andhra Pradesh,Araku (ST),VUYAKA NIREEKSHAN  (V. CHENCHU),India Praja Bandhu Party,4542,0.39,Lost
Andhra Pradesh,Araku (ST),NOTA,None of the Above,50470,4.33,Lost
Andhra Pradesh,Bapatla (SC),KRISHNA PRASAD TENNETI,Telugu Desam,717493,55.16,Won
Andhra Pradesh,Bapatla (SC),NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,509462,39.17,Lost
Andhra Pradesh,Bapatla (SC),J.D. SEELAM,Indian National Congress,43259,3.33,Lost
Andhra Pradesh,Bapatla (SC),DOKKA JAGAN MOHANA RAO,Bahujan Samaj Party,6857,0.53,Lost
Andhra Pradesh,Bapatla (SC),NALAMALA TIRUPATI RAO,Navataram Party,2964,0.23,Lost
Andhra Pradesh,Bapatla (SC),BUSSA. NAGARAJU,Independent,1318,0.1,Lost
Andhra Pradesh,Bapatla (SC),GADDE. VIJAYA LAKSHMI,Independent,1051,0.08,Lost
